ID,图标,半径（百分比）,触碰后时间变化,触碰后奖励的分数
int,string,float,float,int
ID,icon,radius,timeChange,score
20000,obstacle_1,0.45,-0.5,0
20001,obstacle_1,0.45,-0.7,0
20002,obstacle_1,0.45,-0.9,0
20003,obstacle_1,0.45,-1.1,0
20004,obstacle_1,0.45,-1.3,0
20005,obstacle_1,0.45,-1.5,0
20006,obstacle_1,0.45,-1.6,0
20007,obstacle_1,0.45,-1.8,0
20008,obstacle_1,0.45,-2,0
20009,obstacle_1,0.45,-2.2,0
20010,obstacle_1,0.45,-2.4,0
20100,obstacle_2,0.6,-0.8,0
20101,obstacle_2,0.6,-1,0
20102,obstacle_2,0.6,-1.2,0
20103,obstacle_2,0.6,-1.4,0
20104,obstacle_2,0.6,-1.6,0
20105,obstacle_2,0.6,-1.8,0
20106,obstacle_2,0.6,-2,0
20107,obstacle_2,0.6,-2.2,0
20108,obstacle_2,0.6,-2.4,0
20109,obstacle_2,0.6,-2.6,0
20110,obstacle_2,0.6,-2.8,0
20200,obstacle_3,0.75,-1.1,0
20201,obstacle_3,0.75,-1.3,0
20202,obstacle_3,0.75,-1.5,0
20203,obstacle_3,0.75,-1.7,0
20204,obstacle_3,0.75,-1.9,0
20205,obstacle_3,0.75,-2.1,0
20206,obstacle_3,0.75,-2.3,0
20207,obstacle_3,0.75,-2.5,0
20208,obstacle_3,0.75,-2.7,0
20209,obstacle_3,0.75,-2.9,0
20210,obstacle_3,0.75,-3.1,0
